dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
nearly_sorted,msd_radix_sort,2200,154.42,10620.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2200,41.67,12673.00,true
nearly_sorted,quick_sort,2300,141.31,32991.00,true
nearly_sorted,merge_sort,2300,82.21,26213.00,true
nearly_sorted,ternary_string_quick_sort,2300,59.23,21477.00,true
nearly_sorted,string_merge_sort_lcp,2300,2283.53,9319.00,true
nearly_sorted,msd_radix_sort,2300,161.01,11124.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2300,42.62,13323.00,true
nearly_sorted,quick_sort,2400,141.98,34063.00,true
nearly_sorted,merge_sort,2400,87.72,26894.00,true
nearly_sorted,ternary_string_quick_sort,2400,59.02,22335.00,true
nearly_sorted,string_merge_sort_lcp,2400,2116.99,9715.00,true
nearly_sorted,msd_radix_sort,2400,167.12,11622.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2400,44.67,13901.00,true
nearly_sorted,quick_sort,2500,152.46,36817.00,true
nearly_sorted,merge_sort,2500,90.74,28368.00,true
nearly_sorted,ternary_string_quick_sort,2500,63.12,23607.00,true
nearly_sorted,string_merge_sort_lcp,2500,2419.40,10295.00,true
nearly_sorted,msd_radix_sort,2500,191.51,12114.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2500,50.52,14502.00,true
nearly_sorted,quick_sort,2600,171.05,38502.00,true
nearly_sorted,merge_sort,2600,96.71,29314.00,true
nearly_sorted,ternary_string_quick_sort,2600,98.22,24384.00,true
nearly_sorted,string_merge_sort_lcp,2600,2519.73,10561.00,true
nearly_sorted,msd_radix_sort,2600,191.69,12600.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2600,52.74,15114.00,true
nearly_sorted,quick_sort,2700,172.98,40767.00,true
nearly_sorted,merge_sort,2700,104.93,30944.00,true
nearly_sorted,ternary_string_quick_sort,2700,72.38,25523.00,true
nearly_sorted,string_merge_sort_lcp,2700,2589.10,11077.00,true
nearly_sorted,msd_radix_sort,2700,206.63,13090.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2700,53.97,15719.00,true
nearly_sorted,quick_sort,2800,182.25,42751.00,true
nearly_sorted,merge_sort,2800,109.83,30964.00,true
nearly_sorted,ternary_string_quick_sort,2800,75.66,26746.00,true
nearly_sorted,string_merge_sort_lcp,2800,2587.01,11334.00,true
nearly_sorted,msd_radix_sort,2800,197.21,13554.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2800,56.59,16270.00,true
nearly_sorted,quick_sort,2900,190.01,44847.00,true
nearly_sorted,merge_sort,2900,109.14,32372.00,true
nearly_sorted,ternary_string_quick_sort,2900,75.82,27916.00,true
nearly_sorted,string_merge_sort_lcp,2900,2783.85,11814.00,true
nearly_sorted,msd_radix_sort,2900,208.03,14058.00,true
nearly_sorted,msd_radix_sort_with_cutoff,2900,58.77,16899.00,true
nearly_sorted,quick_sort,3000,198.35,47243.00,true
nearly_sorted,merge_sort,3000,117.35,34077.00,true
nearly_sorted,ternary_string_quick_sort,3000,81.11,29296.00,true
nearly_sorted,string_merge_sort_lcp,3000,2763.95,12402.00,true
nearly_sorted,msd_radix_sort,3000,218.52,14572.00,true
nearly_sorted,msd_radix_sort_with_cutoff,3000,61.01,17487.00,true
common_prefix,quick_sort,100,10.43,9989.00,true
common_prefix,merge_sort,100,9.40,8760.00,true
common_prefix,ternary_string_quick_sort,100,4.31,2168.00,true
common_prefix,string_merge_sort_lcp,100,66.83,2095.00,true
common_prefix,msd_radix_sort,100,20.68,3602.00,true
common_prefix,msd_radix_sort_with_cutoff,100,11.79,3359.00,true
common_prefix,quick_sort,200,23.61,25038.00,true
common_prefix,merge_sort,200,20.63,21171.00,true
common_prefix,ternary_string_quick_sort,200,9.68,4604.00,true
common_prefix,string_merge_sort_lcp,200,135.61,4406.00,true
common_prefix,msd_radix_sort,200,37.76,7294.00,true
common_prefix,msd_radix_sort_with_cutoff,200,20.21,6956.00,true
common_prefix,quick_sort,300,38.12,42504.00,true
common_prefix,merge_sort,300,35.30,34804.00,true
common_prefix,ternary_string_quick_sort,300,14.40,6889.00,true
common_prefix,string_merge_sort_lcp,300,217.94,6747.00,true
common_prefix,msd_radix_sort,300,56.89,11034.00,true
common_prefix,msd_radix_sort_with_cutoff,300,34.26,10783.00,true
common_prefix,quick_sort,400,52.43,54805.00,true
common_prefix,merge_sort,400,49.15,49231.00,true
common_prefix,ternary_string_quick_sort,400,19.39,9713.00,true
common_prefix,string_merge_sort_lcp,400,303.79,9155.00,true
common_prefix,msd_radix_sort,400,73.99,14768.00,true
common_prefix,msd_radix_sort_with_cutoff,400,43.34,14412.00,true
common_prefix,quick_sort,500,69.12,71701.00,true
common_prefix,merge_sort,500,65.22,64455.00,true
common_prefix,ternary_string_quick_sort,500,25.09,11852.00,true
common_prefix,string_merge_sort_lcp,500,386.10,11573.00,true
common_prefix,msd_radix_sort,500,94.26,18570.00,true
common_prefix,msd_radix_sort_with_cutoff,500,53.44,18080.00,true
common_prefix,quick_sort,600,90.32,98929.00,true
common_prefix,merge_sort,600,82.19,80403.00,true
common_prefix,ternary_string_quick_sort,600,30.62,14480.00,true
common_prefix,string_merge_sort_lcp,600,475.99,14021.00,true
common_prefix,msd_radix_sort,600,113.78,22362.00,true
common_prefix,msd_radix_sort_with_cutoff,600,61.88,21756.00,true
common_prefix,quick_sort,700,115.14,127404.00,true
common_prefix,merge_sort,700,100.06,96493.00,true
common_prefix,ternary_string_quick_sort,700,35.57,17537.00,true
common_prefix,string_merge_sort_lcp,700,560.03,16486.00,true
common_prefix,msd_radix_sort,700,129.10,26132.00,true
common_prefix,msd_radix_sort_with_cutoff,700,71.45,25440.00,true
common_prefix,quick_sort,800,120.02,128121.00,true
common_prefix,merge_sort,800,119.31,112940.00,true
common_prefix,ternary_string_quick_sort,800,41.37,19772.00,true
common_prefix,string_merge_sort_lcp,800,649.93,18970.00,true
common_prefix,msd_radix_sort,800,144.94,29900.00,true
common_prefix,msd_radix_sort_with_cutoff,800,81.13,29141.00,true
common_prefix,quick_sort,900,137.75,140394.00,true
common_prefix,merge_sort,900,135.84,129595.00,true
common_prefix,ternary_string_quick_sort,900,46.83,22302.00,true
common_prefix,string_merge_sort_lcp,900,787.92,21472.00,true
common_prefix,msd_radix_sort,900,163.50,33678.00,true
common_prefix,msd_radix_sort_with_cutoff,900,96.62,32884.00,true
common_prefix,quick_sort,1000,170.59,173726.00,true
common_prefix,merge_sort,1000,166.83,146942.00,true
common_prefix,ternary_string_quick_sort,1000,56.71,24780.00,true
common_prefix,string_merge_sort_lcp,1000,868.08,24005.00,true
common_prefix,msd_radix_sort,1000,182.51,37444.00,true
common_prefix,msd_radix_sort_with_cutoff,1000,103.84,36673.00,true
common_prefix,quick_sort,1100,186.61,204039.00,true
common_prefix,merge_sort,1100,175.40,164797.00,true
common_prefix,ternary_string_quick_sort,1100,58.19,28018.00,true
common_prefix,string_merge_sort_lcp,1100,928.22,26564.00,true
common_prefix,msd_radix_sort,1100,187.44,41218.00,true
common_prefix,msd_radix_sort_with_cutoff,1100,113.89,40433.00,true
common_prefix,quick_sort,1200,198.84,221621.00,true
common_prefix,merge_sort,1200,194.21,182755.00,true
common_prefix,ternary_string_quick_sort,1200,64.75,30425.00,true
common_prefix,string_merge_sort_lcp,1200,1000.79,29087.00,true
common_prefix,msd_radix_sort,1200,197.48,44992.00,true
common_prefix,msd_radix_sort_with_cutoff,1200,127.32,44220.00,true
common_prefix,quick_sort,1300,219.94,240483.00,true
common_prefix,merge_sort,1300,209.16,200532.00,true
common_prefix,ternary_string_quick_sort,1300,70.12,32724.00,true
common_prefix,string_merge_sort_lcp,1300,1110.20,31618.00,true
common_prefix,msd_radix_sort,1300,211.18,48758.00,true
common_prefix,msd_radix_sort_with_cutoff,1300,133.78,48006.00,true
common_prefix,quick_sort,1400,251.57,281080.00,true
common_prefix,merge_sort,1400,231.97,218792.00,true
common_prefix,ternary_string_quick_sort,1400,79.30,35649.00,true
common_prefix,string_merge_sort_lcp,1400,1261.90,34199.00,true
common_prefix,msd_radix_sort,1400,228.38,52520.00,true
common_prefix,msd_radix_sort_with_cutoff,1400,151.77,51810.00,true
common_prefix,quick_sort,1500,263.61,292162.00,true
common_prefix,merge_sort,1500,248.47,236837.00,true
common_prefix,ternary_string_quick_sort,1500,85.85,39015.00,true
common_prefix,string_merge_sort_lcp,1500,1373.53,36751.00,true
common_prefix,msd_radix_sort,1500,241.78,56278.00,true
common_prefix,msd_radix_sort_with_cutoff,1500,162.62,55612.00,true
common_prefix,quick_sort,1600,279.70,298185.00,true
common_prefix,merge_sort,1600,267.72,255561.00,true
common_prefix,ternary_string_quick_sort,1600,91.36,41139.00,true
common_prefix,string_merge_sort_lcp,1600,1467.60,39333.00,true
common_prefix,msd_radix_sort,1600,249.32,60036.00,true
common_prefix,msd_radix_sort_with_cutoff,1600,168.68,59427.00,true
common_prefix,quick_sort,1700,298.05,329034.00,true
common_prefix,merge_sort,1700,284.07,274572.00,true
common_prefix,ternary_string_quick_sort,1700,95.47,44181.00,true
common_prefix,string_merge_sort_lcp,1700,1475.55,41982.00,true
common_prefix,msd_radix_sort,1700,262.62,63792.00,true
common_prefix,msd_radix_sort_with_cutoff,1700,181.62,63291.00,true
common_prefix,quick_sort,1800,321.24,364734.00,true
common_prefix,merge_sort,1800,302.92,292952.00,true
common_prefix,ternary_string_quick_sort,1800,101.23,48011.00,true
common_prefix,string_merge_sort_lcp,1800,1563.27,44527.00,true
common_prefix,msd_radix_sort,1800,278.24,67552.00,true
common_prefix,msd_radix_sort_with_cutoff,1800,192.06,67150.00,true
common_prefix,quick_sort,1900,345.73,390646.00,true
common_prefix,merge_sort,1900,324.40,311853.00,true
common_prefix,ternary_string_quick_sort,1900,109.06,49444.00,true
common_prefix,string_merge_sort_lcp,1900,1779.58,47117.00,true
common_prefix,msd_radix_sort,1900,284.63,71334.00,true
common_prefix,msd_radix_sort_with_cutoff,1900,201.99,70982.00,true
common_prefix,quick_sort,2000,355.11,381538.00,true
common_prefix,merge_sort,2000,348.92,330963.00,true
common_prefix,ternary_string_quick_sort,2000,116.81,52159.00,true
common_prefix,string_merge_sort_lcp,2000,1842.14,49731.00,true
common_prefix,msd_radix_sort,2000,299.78,75122.00,true
common_prefix,msd_radix_sort_with_cutoff,2000,213.89,74860.00,true
common_prefix,quick_sort,2100,385.85,420078.00,true
common_prefix,merge_sort,2100,363.54,350867.00,true
common_prefix,ternary_string_quick_sort,2100,119.56,55291.00,true
common_prefix,string_merge_sort_lcp,2100,1996.04,52399.00,true
common_prefix,msd_radix_sort,2100,304.33,78896.00,true
common_prefix,msd_radix_sort_with_cutoff,2100,219.43,78708.00,true
common_prefix,quick_sort,2200,398.10,435082.00,true
common_prefix,merge_sort,2200,387.77,370770.00,true
common_prefix,ternary_string_quick_sort,2200,124.79,58272.00,true
common_prefix,string_merge_sort_lcp,2200,2053.17,55034.00,true
common_prefix,msd_radix_sort,2200,317.57,82682.00,true
common_prefix,msd_radix_sort_with_cutoff,2200,228.51,82568.00,true
common_prefix,quick_sort,2300,456.18,490803.00,true
common_prefix,merge_sort,2300,406.13,390645.00,true
common_prefix,ternary_string_quick_sort,2300,131.07,60783.00,true
common_prefix,string_merge_sort_lcp,2300,2131.22,57710.00,true
common_prefix,msd_radix_sort,2300,328.62,86466.00,true
common_prefix,msd_radix_sort_with_cutoff,2300,245.81,86447.00,true
common_prefix,quick_sort,2400,449.01,479787.00,true
common_prefix,merge_sort,2400,429.43,410124.00,true
common_prefix,ternary_string_quick_sort,2400,139.53,63673.00,true
common_prefix,string_merge_sort_lcp,2400,2341.64,60260.00,true
common_prefix,msd_radix_sort,2400,339.03,90264.00,true
common_prefix,msd_radix_sort_with_cutoff,2400,254.17,90382.00,true
common_prefix,quick_sort,2500,462.14,514152.00,true
common_prefix,merge_sort,2500,459.40,429977.00,true
common_prefix,ternary_string_quick_sort,2500,144.87,66754.00,true
common_prefix,string_merge_sort_lcp,2500,2319.23,62897.00,true
common_prefix,msd_radix_sort,2500,358.46,94036.00,true
common_prefix,msd_radix_sort_with_cutoff,2500,260.53,94232.00,true
common_prefix,quick_sort,2600,506.18,548737.00,true
common_prefix,merge_sort,2600,476.48,449678.00,true
common_prefix,ternary_string_quick_sort,2600,149.19,69296.00,true
common_prefix,string_merge_sort_lcp,2600,2355.89,65562.00,true
common_prefix,msd_radix_sort,2600,373.01,97832.00,true
common_prefix,msd_radix_sort_with_cutoff,2600,272.07,98062.00,true
common_prefix,quick_sort,2700,538.28,579592.00,true
common_prefix,merge_sort,2700,511.12,469887.00,true
common_prefix,ternary_string_quick_sort,2700,154.86,71975.00,true
common_prefix,string_merge_sort_lcp,2700,2703.20,68159.00,true
common_prefix,msd_radix_sort,2700,374.83,101640.00,true
common_prefix,msd_radix_sort_with_cutoff,2700,281.89,102006.00,true
common_prefix,quick_sort,2800,541.11,587809.00,true
common_prefix,merge_sort,2800,508.83,489983.00,true
common_prefix,ternary_string_quick_sort,2800,166.87,75667.00,true
common_prefix,string_merge_sort_lcp,2800,2623.62,70820.00,true
common_prefix,msd_radix_sort,2800,388.87,105440.00,true
common_prefix,msd_radix_sort_with_cutoff,2800,306.68,105989.00,true
common_prefix,quick_sort,2900,599.13,624518.00,true
common_prefix,merge_sort,2900,543.18,509937.00,true
common_prefix,ternary_string_quick_sort,2900,176.64,77454.00,true
common_prefix,string_merge_sort_lcp,2900,2945.03,73485.00,true
common_prefix,msd_radix_sort,2900,425.92,109230.00,true
common_prefix,msd_radix_sort_with_cutoff,2900,323.33,109882.00,true
common_prefix,quick_sort,3000,590.48,620180.00,true
common_prefix,merge_sort,3000,557.96,529770.00,true
common_prefix,ternary_string_quick_sort,3000,173.33,79697.00,true
common_prefix,string_merge_sort_lcp,3000,2895.13,76081.00,true
common_prefix,msd_radix_sort,3000,411.82,113010.00,true
common_prefix,msd_radix_sort_with_cutoff,3000,311.98,113733.00,true
