dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
random,msd_radix_sort_with_cutoff,1800,37.45,10483.00,true
random,quick_sort,1900,177.03,29868.00,true
random,merge_sort,1900,128.73,25560.00,true
random,ternary_string_quick_sort,1900,79.83,18784.00,true
random,string_merge_sort_lcp,1900,1743.83,16628.00,true
random,msd_radix_sort,1900,117.78,8788.00,true
random,msd_radix_sort_with_cutoff,1900,41.41,11379.00,true
random,quick_sort,2000,184.03,34185.00,true
random,merge_sort,2000,132.08,27213.00,true
random,ternary_string_quick_sort,2000,85.45,22472.00,true
random,string_merge_sort_lcp,2000,1806.67,17630.00,true
random,msd_radix_sort,2000,128.99,9292.00,true
random,msd_radix_sort_with_cutoff,2000,44.85,12006.00,true
random,quick_sort,2100,194.92,36423.00,true
random,merge_sort,2100,141.87,28949.00,true
random,ternary_string_quick_sort,2100,91.44,22501.00,true
random,string_merge_sort_lcp,2100,1895.04,18649.00,true
random,msd_radix_sort,2100,134.23,9812.00,true
random,msd_radix_sort_with_cutoff,2100,44.65,12688.00,true
random,quick_sort,2200,211.42,36189.00,true
random,merge_sort,2200,159.35,30657.00,true
random,ternary_string_quick_sort,2200,99.01,23320.00,true
random,string_merge_sort_lcp,2200,1986.55,19665.00,true
random,msd_radix_sort,2200,142.90,10308.00,true
random,msd_radix_sort_with_cutoff,2200,48.03,13725.00,true
random,quick_sort,2300,221.37,39887.00,true
random,merge_sort,2300,173.81,32358.00,true
random,ternary_string_quick_sort,2300,99.89,25222.00,true
random,string_merge_sort_lcp,2300,2159.93,20667.00,true
random,msd_radix_sort,2300,153.02,10842.00,true
random,msd_radix_sort_with_cutoff,2300,56.48,14286.00,true
random,quick_sort,2400,236.62,43982.00,true
random,merge_sort,2400,173.97,34062.00,true
random,ternary_string_quick_sort,2400,109.67,25662.00,true
random,string_merge_sort_lcp,2400,2237.21,21721.00,true
random,msd_radix_sort,2400,158.18,11354.00,true
random,msd_radix_sort_with_cutoff,2400,54.30,15170.00,true
random,quick_sort,2500,276.48,42320.00,true
random,merge_sort,2500,178.85,35727.00,true
random,ternary_string_quick_sort,2500,98.86,27392.00,true
random,string_merge_sort_lcp,2500,2341.27,22673.00,true
random,msd_radix_sort,2500,159.78,11860.00,true
random,msd_radix_sort_with_cutoff,2500,58.30,15925.00,true
random,quick_sort,2600,258.96,46704.00,true
random,merge_sort,2600,195.54,37417.00,true
random,ternary_string_quick_sort,2600,131.17,28164.00,true
random,string_merge_sort_lcp,2600,2449.44,23657.00,true
random,msd_radix_sort,2600,170.66,12378.00,true
random,msd_radix_sort_with_cutoff,2600,60.50,16876.00,true
random,quick_sort,2700,270.01,49750.00,true
random,merge_sort,2700,208.28,39198.00,true
random,ternary_string_quick_sort,2700,120.83,30837.00,true
random,string_merge_sort_lcp,2700,2524.62,24681.00,true
random,msd_radix_sort,2700,176.94,12944.00,true
random,msd_radix_sort_with_cutoff,2700,62.00,17597.00,true
random,quick_sort,2800,279.38,49073.00,true
random,merge_sort,2800,210.82,41033.00,true
random,ternary_string_quick_sort,2800,137.89,31650.00,true
random,string_merge_sort_lcp,2800,2620.68,25849.00,true
random,msd_radix_sort,2800,188.43,13520.00,true
random,msd_radix_sort_with_cutoff,2800,65.62,18192.00,true
random,quick_sort,2900,402.02,53338.00,true
random,merge_sort,2900,294.16,42798.00,true
random,ternary_string_quick_sort,2900,126.58,32867.00,true
random,string_merge_sort_lcp,2900,2942.73,26876.00,true
random,msd_radix_sort,2900,200.49,14076.00,true
random,msd_radix_sort_with_cutoff,2900,67.60,18891.00,true
random,quick_sort,3000,309.32,54894.00,true
random,merge_sort,3000,240.31,44595.00,true
random,ternary_string_quick_sort,3000,137.65,32990.00,true
random,string_merge_sort_lcp,3000,3005.63,27943.00,true
random,msd_radix_sort,3000,214.63,14634.00,true
random,msd_radix_sort_with_cutoff,3000,71.58,19999.00,true
reversed,quick_sort,100,4.40,986.00,true
reversed,merge_sort,100,2.52,725.00,true
reversed,ternary_string_quick_sort,100,1.88,582.00,true
reversed,string_merge_sort_lcp,100,61.91,406.00,true
reversed,msd_radix_sort,100,7.20,488.00,true
reversed,msd_radix_sort_with_cutoff,100,2.22,595.00,true
reversed,quick_sort,200,10.13,2203.00,true
reversed,merge_sort,200,5.20,1482.00,true
reversed,ternary_string_quick_sort,200,3.50,1277.00,true
reversed,string_merge_sort_lcp,200,129.12,769.00,true
reversed,msd_radix_sort,200,13.94,970.00,true
reversed,msd_radix_sort_with_cutoff,200,3.65,1147.00,true
reversed,quick_sort,300,14.28,3380.00,true
reversed,merge_sort,300,7.85,2300.00,true
reversed,ternary_string_quick_sort,300,5.53,2036.00,true
reversed,string_merge_sort_lcp,300,206.94,1170.00,true
reversed,msd_radix_sort,300,23.38,1460.00,true
reversed,msd_radix_sort_with_cutoff,300,5.46,1705.00,true
reversed,quick_sort,400,20.73,4859.00,true
reversed,merge_sort,400,10.82,3151.00,true
reversed,ternary_string_quick_sort,400,7.38,2735.00,true
reversed,string_merge_sort_lcp,400,284.05,1561.00,true
reversed,msd_radix_sort,400,29.51,1944.00,true
reversed,msd_radix_sort_with_cutoff,400,7.23,2251.00,true
reversed,quick_sort,500,27.93,6106.00,true
reversed,merge_sort,500,14.35,3856.00,true
reversed,ternary_string_quick_sort,500,10.39,3631.00,true
reversed,string_merge_sort_lcp,500,358.46,1898.00,true
reversed,msd_radix_sort,500,36.92,2428.00,true
reversed,msd_radix_sort_with_cutoff,500,9.65,2823.00,true
reversed,quick_sort,600,30.73,7386.00,true
reversed,merge_sort,600,17.57,4881.00,true
reversed,ternary_string_quick_sort,600,11.93,4521.00,true
reversed,string_merge_sort_lcp,600,444.36,2330.00,true
reversed,msd_radix_sort,600,44.52,2918.00,true
reversed,msd_radix_sort_with_cutoff,600,10.58,3376.00,true
reversed,quick_sort,700,38.44,9122.00,true
reversed,merge_sort,700,21.09,5798.00,true
reversed,ternary_string_quick_sort,700,14.39,5356.00,true
reversed,string_merge_sort_lcp,700,646.58,2707.00,true
reversed,msd_radix_sort,700,63.73,3408.00,true
reversed,msd_radix_sort_with_cutoff,700,16.06,3968.00,true
reversed,quick_sort,800,42.15,10588.00,true
reversed,merge_sort,800,24.20,6716.00,true
reversed,ternary_string_quick_sort,800,17.15,6256.00,true
reversed,string_merge_sort_lcp,800,615.25,3126.00,true
reversed,msd_radix_sort,800,58.15,3886.00,true
reversed,msd_radix_sort_with_cutoff,800,13.36,4554.00,true
reversed,quick_sort,900,47.79,12040.00,true
reversed,merge_sort,900,27.73,7521.00,true
reversed,ternary_string_quick_sort,900,19.23,7182.00,true
reversed,string_merge_sort_lcp,900,689.94,3497.00,true
reversed,msd_radix_sort,900,68.21,4382.00,true
reversed,msd_radix_sort_with_cutoff,900,15.42,5097.00,true
reversed,quick_sort,1000,53.05,13502.00,true
reversed,merge_sort,1000,30.33,8208.00,true
reversed,ternary_string_quick_sort,1000,22.08,8102.00,true
reversed,string_merge_sort_lcp,1000,903.60,3797.00,true
reversed,msd_radix_sort,1000,76.40,4860.00,true
reversed,msd_radix_sort_with_cutoff,1000,18.72,5677.00,true
reversed,quick_sort,1100,56.94,14893.00,true
reversed,merge_sort,1100,33.23,9223.00,true
reversed,ternary_string_quick_sort,1100,24.27,9058.00,true
reversed,string_merge_sort_lcp,1100,865.57,4207.00,true
reversed,msd_radix_sort,1100,81.11,5334.00,true
reversed,msd_radix_sort_with_cutoff,1100,21.29,6229.00,true
reversed,quick_sort,1200,63.88,16231.00,true
reversed,merge_sort,1200,37.13,10413.00,true
reversed,ternary_string_quick_sort,1200,27.61,10076.00,true
reversed,string_merge_sort_lcp,1200,1015.54,4711.00,true
reversed,msd_radix_sort,1200,102.65,5848.00,true
reversed,msd_radix_sort_with_cutoff,1200,22.73,6811.00,true
reversed,quick_sort,1300,71.33,18027.00,true
reversed,merge_sort,1300,40.51,11423.00,true
reversed,ternary_string_quick_sort,1300,29.31,10984.00,true
reversed,string_merge_sort_lcp,1300,1056.11,5148.00,true
reversed,msd_radix_sort,1300,97.25,6332.00,true
reversed,msd_radix_sort_with_cutoff,1300,23.58,7370.00,true
reversed,quick_sort,1400,79.08,19871.00,true
reversed,merge_sort,1400,44.38,12325.00,true
reversed,ternary_string_quick_sort,1400,32.42,12049.00,true
reversed,string_merge_sort_lcp,1400,1231.95,5464.00,true
reversed,msd_radix_sort,1400,104.29,6814.00,true
reversed,msd_radix_sort_with_cutoff,1400,26.63,7968.00,true
reversed,quick_sort,1500,99.51,21318.00,true
reversed,merge_sort,1500,48.27,13339.00,true
reversed,ternary_string_quick_sort,1500,34.79,13048.00,true
reversed,string_merge_sort_lcp,1500,1223.60,5985.00,true
reversed,msd_radix_sort,1500,112.30,7292.00,true
reversed,msd_radix_sort_with_cutoff,1500,28.16,8536.00,true
reversed,quick_sort,1600,91.03,22842.00,true
reversed,merge_sort,1600,52.91,14301.00,true
reversed,ternary_string_quick_sort,1600,42.34,14003.00,true
reversed,string_merge_sort_lcp,1600,1296.77,6379.00,true
reversed,msd_radix_sort,1600,118.10,7758.00,true
reversed,msd_radix_sort_with_cutoff,1600,29.04,9105.00,true
reversed,quick_sort,1700,95.08,24499.00,true
reversed,merge_sort,1700,54.58,15155.00,true
reversed,ternary_string_quick_sort,1700,39.75,14925.00,true
reversed,string_merge_sort_lcp,1700,1463.99,6708.00,true
reversed,msd_radix_sort,1700,126.75,8242.00,true
reversed,msd_radix_sort_with_cutoff,1700,30.25,9674.00,true
reversed,quick_sort,1800,100.61,25892.00,true
reversed,merge_sort,1800,57.55,15921.00,true
reversed,ternary_string_quick_sort,1800,41.55,15858.00,true
reversed,string_merge_sort_lcp,1800,1510.05,7044.00,true
reversed,msd_radix_sort,1800,131.13,8708.00,true
reversed,msd_radix_sort_with_cutoff,1800,33.05,10245.00,true
reversed,quick_sort,1900,105.99,27433.00,true
reversed,merge_sort,1900,61.06,16720.00,true
reversed,ternary_string_quick_sort,1900,43.87,17020.00,true
reversed,string_merge_sort_lcp,1900,1669.05,7345.00,true
reversed,msd_radix_sort,1900,136.62,9192.00,true
reversed,msd_radix_sort_with_cutoff,1900,35.01,10807.00,true
reversed,quick_sort,2000,112.32,29331.00,true
reversed,merge_sort,2000,63.44,17372.00,true
reversed,ternary_string_quick_sort,2000,46.09,18009.00,true
reversed,string_merge_sort_lcp,2000,1754.20,7609.00,true
reversed,msd_radix_sort,2000,139.38,9652.00,true
reversed,msd_radix_sort_with_cutoff,2000,36.38,11392.00,true
reversed,quick_sort,2100,118.65,30958.00,true
reversed,merge_sort,2100,66.09,18420.00,true
reversed,ternary_string_quick_sort,2100,48.94,19131.00,true
reversed,string_merge_sort_lcp,2100,1856.32,8094.00,true
reversed,msd_radix_sort,2100,148.82,10150.00,true
reversed,msd_radix_sort_with_cutoff,2100,37.99,11949.00,true
reversed,quick_sort,2200,123.71,32424.00,true
reversed,merge_sort,2200,70.48,19739.00,true
reversed,ternary_string_quick_sort,2200,53.02,20182.00,true
reversed,string_merge_sort_lcp,2200,1906.71,8627.00,true
reversed,msd_radix_sort,2200,155.32,10648.00,true
reversed,msd_radix_sort_with_cutoff,2200,40.40,12543.00,true
reversed,quick_sort,2300,128.39,33938.00,true
reversed,merge_sort,2300,73.85,21026.00,true
reversed,ternary_string_quick_sort,2300,54.68,21194.00,true
